"productcategorykey","category","productsubcategorykey","subcategory","productkey","productname","color","productline","modelname"
1,"Bikes",2,"Road Bikes",371,"Road-250 Red, 58","Red","R ","Road-250"
1,"Bikes",2,"Road Bikes",370,"Road-250 Red, 52","Red","R ","Road-250"
1,"Bikes",2,"Road Bikes",369,"Road-250 Red, 48","Red","R ","Road-250"
1,"Bikes",2,"Road Bikes",368,"Road-250 Red, 44","Red","R ","Road-250"
1,"Bikes",2,"Road Bikes",343,"Road-650 Black, 52","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",342,"Road-650 Black, 52","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",341,"Road-650 Black, 48","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",340,"Road-650 Black, 48","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",339,"Road-650 Black, 44","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",338,"Road-650 Black, 44","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",337,"Road-650 Black, 62","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",336,"Road-650 Black, 62","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",334,"Road-650 Black, 60","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",333,"Road-650 Black, 58","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",332,"Road-650 Black, 58","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",331,"Road-650 Red, 52","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",330,"Road-650 Red, 52","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",329,"Road-650 Red, 48","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",328,"Road-650 Red, 48","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",327,"Road-650 Red, 44","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",326,"Road-650 Red, 44","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",325,"Road-650 Red, 62","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",324,"Road-650 Red, 62","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",323,"Road-650 Red, 60","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",322,"Road-650 Red, 60","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",321,"Road-650 Red, 58","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",320,"Road-650 Red, 58","Red","R ","Road-650"
1,"Bikes",2,"Road Bikes",319,"Road-450 Red, 52","Red","R ","Road-450"
1,"Bikes",2,"Road Bikes",318,"Road-450 Red, 48","Red","R ","Road-450"
1,"Bikes",2,"Road Bikes",317,"Road-450 Red, 44","Red","R ","Road-450"
1,"Bikes",2,"Road Bikes",316,"Road-450 Red, 60","Red","R ","Road-450"
1,"Bikes",2,"Road Bikes",315,"Road-450 Red, 58","Red","R ","Road-450"
1,"Bikes",2,"Road Bikes",314,"Road-150 Red, 56","Red","R ","Road-150"
1,"Bikes",2,"Road Bikes",313,"Road-150 Red, 52","Red","R ","Road-150"
1,"Bikes",2,"Road Bikes",312,"Road-150 Red, 48","Red","R ","Road-150"
1,"Bikes",2,"Road Bikes",311,"Road-150 Red, 44","Red","R ","Road-150"
1,"Bikes",2,"Road Bikes",335,"Road-650 Black, 60","Black","R ","Road-650"
1,"Bikes",2,"Road Bikes",390,"Road-550-W Yellow, 48","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",389,"Road-550-W Yellow, 48","Yellow","R ","Road-550-W"
1,"Bikes",2,"Road Bikes",388,"Road-550-W Yellow, 44","Yellow","R ","Road-550-W"
1,"Bikes",3,"Touring Bikes",578,"Touring-2000 Blue, 50","Blue","T ","Touring-2000"
1,"Bikes",3,"Touring Bikes",574,"Touring-1000 Blue, 50","Blue","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",573,"Touring-1000 Blue, 46","Blue","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",572,"Touring-3000 Yellow, 62","Yellow","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",571,"Touring-3000 Yellow, 58","Yellow","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",570,"Touring-3000 Yellow, 54","Yellow","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",569,"Touring-3000 Yellow, 50","Yellow","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",562,"Touring-1000 Yellow, 50","Yellow","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",563,"Touring-1000 Yellow, 54","Yellow","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",564,"Touring-1000 Yellow, 60","Yellow","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",565,"Touring-3000 Blue, 54","Blue","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",566,"Touring-3000 Blue, 58","Blue","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",567,"Touring-3000 Blue, 62","Blue","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",568,"Touring-3000 Yellow, 44","Yellow","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",561,"Touring-1000 Yellow, 46","Yellow","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",586,"Touring-3000 Blue, 50","Blue","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",577,"Touring-2000 Blue, 46","Blue","T ","Touring-2000"
1,"Bikes",3,"Touring Bikes",576,"Touring-1000 Blue, 60","Blue","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",575,"Touring-1000 Blue, 54","Blue","T ","Touring-1000"
1,"Bikes",3,"Touring Bikes",585,"Touring-3000 Blue, 44","Blue","T ","Touring-3000"
1,"Bikes",3,"Touring Bikes",560,"Touring-2000 Blue, 60","Blue","T ","Touring-2000"
1,"Bikes",3,"Touring Bikes",579,"Touring-2000 Blue, 54","Blue","T ","Touring-2000"
2,"Components",4,"Handlebars",399,"ML Mountain Handlebars","NA","M ","ML Mountain Handlebars"
2,"Components",4,"Handlebars",554,"HL Touring Handlebars","NA","T ","HL Touring Handlebars"
2,"Components",4,"Handlebars",553,"LL Touring Handlebars","NA","T ","LL Touring Handlebars"
2,"Components",4,"Handlebars",408,"HL Road Handlebars","NA","R ","HL Road Handlebars"
2,"Components",4,"Handlebars",407,"HL Road Handlebars","NA","R ","HL Road Handlebars"
2,"Components",4,"Handlebars",406,"ML Road Handlebars","NA","R ","ML Road Handlebars"
2,"Components",4,"Handlebars",405,"ML Road Handlebars","NA","R ","ML Road Handlebars"
2,"Components",4,"Handlebars",404,"LL Road Handlebars","NA","R ","LL Road Handlebars"
2,"Components",4,"Handlebars",403,"LL Road Handlebars","NA","R ","LL Road Handlebars"
2,"Components",4,"Handlebars",402,"HL Mountain Handlebars","NA","M ","HL Mountain Handlebars"
2,"Components",4,"Handlebars",401,"HL Mountain Handlebars","NA","M ","HL Mountain Handlebars"
2,"Components",4,"Handlebars",400,"ML Mountain Handlebars","NA","M ","ML Mountain Handlebars"
2,"Components",4,"Handlebars",398,"LL Mountain Handlebars","NA","M ","LL Mountain Handlebars"
2,"Components",4,"Handlebars",397,"LL Mountain Handlebars","NA","M ","LL Mountain Handlebars"
2,"Components",5,"Bottom Brackets",602,"ML Bottom Bracket","NA",NULL,"ML Bottom Bracket"
2,"Components",5,"Bottom Brackets",601,"LL Bottom Bracket","NA",NULL,"LL Bottom Bracket"
2,"Components",5,"Bottom Brackets",603,"HL Bottom Bracket","NA",NULL,"HL Bottom Bracket"
2,"Components",6,"Brakes",555,"Front Brakes","Silver",NULL,"Front Brakes"
2,"Components",6,"Brakes",514,"Rear Brakes","Silver",NULL,"Rear Brakes"
2,"Components",7,"Chains",559,"Chain","Silver",NULL,"Chain"
2,"Components",8,"Cranksets",558,"HL Crankset","Black",NULL,"HL Crankset"
2,"Components",8,"Cranksets",557,"ML Crankset","Black",NULL,"ML Crankset"
2,"Components",8,"Cranksets",556,"LL Crankset","Black",NULL,"LL Crankset"
2,"Components",9,"Derailleurs",552,"Front Derailleur","Silver",NULL,"Front Derailleur"
2,"Components",9,"Derailleurs",501,"Rear Derailleur","Silver",NULL,"Rear Derailleur"
2,"Components",10,"Forks",391,"LL Fork","NA",NULL,"LL Fork"
2,"Components",10,"Forks",393,"HL Fork","NA",NULL,"HL Fork"
2,"Components",10,"Forks",392,"ML Fork","NA",NULL,"ML Fork"
2,"Components",11,"Headsets",396,"HL Headset","NA",NULL,"HL Headset"
2,"Components",11,"Headsets",395,"ML Headset","NA",NULL,"ML Headset"
2,"Components",11,"Headsets",394,"LL Headset","NA",NULL,"LL Headset"
2,"Components",12,"Mountain Frames",531,"LL Mountain Frame - Black, 42","Black","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",288,"HL Mountain Frame - Silver, 42","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",289,"HL Mountain Frame - Silver, 42","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",290,"HL Mountain Frame - Silver, 42","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",291,"HL Mountain Frame - Silver, 44","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",292,"HL Mountain Frame - Silver, 48","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",293,"HL Mountain Frame - Silver, 46","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",294,"HL Mountain Frame - Silver, 46","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",295,"HL Mountain Frame - Silver, 46","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",296,"HL Mountain Frame - Black, 42","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",297,"HL Mountain Frame - Black, 42","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",298,"HL Mountain Frame - Black, 42","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",299,"HL Mountain Frame - Black, 44","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",300,"HL Mountain Frame - Black, 48","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",301,"HL Mountain Frame - Black, 46","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",302,"HL Mountain Frame - Black, 46","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",303,"HL Mountain Frame - Black, 46","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",304,"HL Mountain Frame - Black, 38","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",305,"HL Mountain Frame - Black, 38","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",306,"HL Mountain Frame - Black, 38","Black","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",307,"HL Mountain Frame - Silver, 38","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",308,"HL Mountain Frame - Silver, 38","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",309,"HL Mountain Frame - Silver, 38","Silver","M ","HL Mountain Frame"
2,"Components",12,"Mountain Frames",409,"ML Mountain Frame - Black, 38","Black","M ","ML Mountain Frame-W"
2,"Components",12,"Mountain Frames",426,"ML Mountain Frame - Black, 40","Black","M ","ML Mountain Frame"
2,"Components",12,"Mountain Frames",427,"ML Mountain Frame - Black, 44","Black","M ","ML Mountain Frame"
2,"Components",12,"Mountain Frames",428,"ML Mountain Frame - Black, 48","Black","M ","ML Mountain Frame"
2,"Components",12,"Mountain Frames",511,"ML Mountain Frame-W - Silver, 40","Silver","M ","ML Mountain Frame-W"
2,"Components",12,"Mountain Frames",512,"ML Mountain Frame-W - Silver, 42","Silver","M ","ML Mountain Frame-W"
2,"Components",12,"Mountain Frames",513,"ML Mountain Frame-W - Silver, 46","Silver","M ","ML Mountain Frame-W"
2,"Components",12,"Mountain Frames",524,"LL Mountain Frame - Silver, 42","Silver","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",525,"LL Mountain Frame - Silver, 44","Silver","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",526,"LL Mountain Frame - Silver, 48","Silver","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",527,"LL Mountain Frame - Silver, 52","Silver","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",532,"LL Mountain Frame - Black, 44","Black","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",533,"LL Mountain Frame - Black, 48","Black","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",534,"LL Mountain Frame - Black, 52","Black","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",549,"ML Mountain Frame-W - Silver, 38","Silver","M ","ML Mountain Frame-W"
2,"Components",12,"Mountain Frames",550,"LL Mountain Frame - Black, 40","Black","M ","LL Mountain Frame"
2,"Components",12,"Mountain Frames",551,"LL Mountain Frame - Silver, 40","Silver","M ","LL Mountain Frame"
2,"Components",13,"Pedals",545,"LL Road Pedal","Silver/Black","R ","LL Road Pedal"
2,"Components",13,"Pedals",544,"HL Mountain Pedal","Silver/Black","M ","HL Mountain Pedal"
2,"Components",13,"Pedals",543,"ML Mountain Pedal","Silver/Black","M ","ML Mountain Pedal"
2,"Components",13,"Pedals",542,"LL Mountain Pedal","Silver/Black","M ","LL Mountain Pedal"
2,"Components",13,"Pedals",548,"Touring Pedal","Silver/Black","T ","Touring Pedal"
2,"Components",13,"Pedals",547,"HL Road Pedal","Silver/Black","R ","HL Road Pedal"
2,"Components",13,"Pedals",546,"ML Road Pedal","Silver/Black","R ","ML Road Pedal"
2,"Components",14,"Road Frames",250,"HL Road Frame - Red, 56","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",251,"HL Road Frame - Red, 56","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",252,"HL Road Frame - Red, 56","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",253,"LL Road Frame - Black, 58","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",417,"ML Road Frame-W - Yellow, 38","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",418,"ML Road Frame-W - Yellow, 38","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",254,"LL Road Frame - Black, 58","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",255,"LL Road Frame - Black, 58","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",256,"LL Road Frame - Black, 60","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",429,"ML Road Frame-W - Yellow, 40","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",430,"ML Road Frame-W - Yellow, 40","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",431,"ML Road Frame-W - Yellow, 42","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",432,"ML Road Frame-W - Yellow, 42","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",433,"ML Road Frame-W - Yellow, 44","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",434,"ML Road Frame-W - Yellow, 44","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",435,"ML Road Frame-W - Yellow, 48","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",436,"ML Road Frame-W - Yellow, 48","Yellow","R ","ML Road Frame-W"
2,"Components",14,"Road Frames",437,"HL Road Frame - Black, 62","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",438,"HL Road Frame - Black, 62","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",439,"HL Road Frame - Black, 44","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",440,"HL Road Frame - Black, 44","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",441,"HL Road Frame - Black, 48","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",442,"HL Road Frame - Black, 48","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",443,"HL Road Frame - Black, 52","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",444,"HL Road Frame - Black, 52","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",257,"LL Road Frame - Black, 60","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",258,"LL Road Frame - Black, 60","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",259,"LL Road Frame - Black, 62","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",260,"LL Road Frame - Black, 62","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",261,"LL Road Frame - Black, 62","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",262,"LL Road Frame - Red, 44","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",263,"LL Road Frame - Red, 44","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",264,"LL Road Frame - Red, 48","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",265,"LL Road Frame - Red, 48","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",266,"LL Road Frame - Red, 52","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",267,"LL Road Frame - Red, 52","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",268,"LL Road Frame - Red, 58","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",269,"LL Road Frame - Red, 58","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",270,"LL Road Frame - Red, 60","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",271,"LL Road Frame - Red, 60","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",272,"LL Road Frame - Red, 62","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",273,"LL Road Frame - Red, 62","Red","R ","LL Road Frame"
2,"Components",14,"Road Frames",274,"ML Road Frame - Red, 44","Red","R ","ML Road Frame"
2,"Components",14,"Road Frames",275,"ML Road Frame - Red, 48","Red","R ","ML Road Frame"
2,"Components",14,"Road Frames",276,"ML Road Frame - Red, 52","Red","R ","ML Road Frame"
2,"Components",14,"Road Frames",277,"ML Road Frame - Red, 58","Red","R ","ML Road Frame"
2,"Components",14,"Road Frames",278,"ML Road Frame - Red, 60","Red","R ","ML Road Frame"
2,"Components",14,"Road Frames",279,"LL Road Frame - Black, 44","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",280,"LL Road Frame - Black, 44","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",281,"LL Road Frame - Black, 44","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",282,"LL Road Frame - Black, 48","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",283,"LL Road Frame - Black, 48","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",284,"LL Road Frame - Black, 48","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",285,"LL Road Frame - Black, 52","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",286,"LL Road Frame - Black, 52","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",287,"LL Road Frame - Black, 52","Black","R ","LL Road Frame"
2,"Components",14,"Road Frames",210,"HL Road Frame - Black, 58","Black","R ","HL Road Frame"
2,"Components",14,"Road Frames",211,"HL Road Frame - Red, 58","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",238,"HL Road Frame - Red, 62","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",239,"HL Road Frame - Red, 62","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",240,"HL Road Frame - Red, 62","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",241,"HL Road Frame - Red, 44","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",242,"HL Road Frame - Red, 44","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",243,"HL Road Frame - Red, 44","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",244,"HL Road Frame - Red, 48","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",245,"HL Road Frame - Red, 48","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",246,"HL Road Frame - Red, 48","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",247,"HL Road Frame - Red, 52","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",248,"HL Road Frame - Red, 52","Red","R ","HL Road Frame"
2,"Components",14,"Road Frames",249,"HL Road Frame - Red, 52","Red","R ","HL Road Frame"
2,"Components",15,"Saddles",515,"LL Mountain Seat/Saddle","NA","M ","LL Mountain Seat/Saddle 2"
2,"Components",15,"Saddles",522,"ML Touring Seat/Saddle","NA","T ","ML Touring Seat/Saddle"
2,"Components",15,"Saddles",521,"LL Touring Seat/Saddle","NA","T ","LL Touring Seat/Saddle"
2,"Components",15,"Saddles",520,"HL Road Seat/Saddle","NA","R ","HL Road Seat/Saddle 2"
2,"Components",15,"Saddles",519,"ML Road Seat/Saddle","NA","T ","ML Road Seat/Saddle 2"
2,"Components",15,"Saddles",518,"LL Road Seat/Saddle","NA","R ","LL Road Seat/Saddle 1"
2,"Components",15,"Saddles",517,"HL Mountain Seat/Saddle","NA","M ","HL Mountain Seat/Saddle 2"
2,"Components",15,"Saddles",516,"ML Mountain Seat/Saddle","NA","M ","ML Mountain Seat/Saddle 2"
2,"Components",15,"Saddles",523,"HL Touring Seat/Saddle","NA","T ","HL Touring Seat/Saddle"
2,"Components",16,"Touring Frames",500,"HL Touring Frame - Blue, 60","Blue","T ","HL Touring Frame"
2,"Components",16,"Touring Frames",502,"LL Touring Frame - Blue, 50","Blue","T ","LL Touring Frame"
