"productkey","orderdatekey","duedatekey","shipdatekey","customerkey","totalproductcost","salesamount"
314,"20200221",20200305,20200228,16693,2171,"3578.27"
313,"20200221",20200305,20200228,16702,2171,"3578.27"
312,"20200221",20200305,20200228,16707,2171,"3578.27"
310,"20200221",20200305,20200228,17046,2171,"3578.27"
328,"20200221",20200305,20200228,25272,413,"699.10"
344,"20200221",20200305,20200228,25868,1912,"3399.99"
342,"20200222",20200306,20200301,17971,413,"699.10"
351,"20200222",20200306,20200301,11057,1898,"3374.99"
313,"20200222",20200306,20200301,16742,2171,"3578.27"
313,"20200223",20200307,20200302,13678,2171,"3578.27"
311,"20200223",20200307,20200302,13679,2171,"3578.27"
314,"20200223",20200307,20200302,13690,2171,"3578.27"
344,"20200223",20200307,20200302,28394,1912,"3399.99"
313,"20200223",20200307,20200302,28064,2171,"3578.27"
344,"20200223",20200307,20200302,25878,1912,"3399.99"
314,"20200223",20200307,20200302,16713,2171,"3578.27"
314,"20200224",20200308,20200303,13538,2171,"3578.27"
310,"20200224",20200308,20200303,17050,2171,"3578.27"
310,"20200225",20200309,20200304,13691,2171,"3578.27"
314,"20200225",20200309,20200304,16637,2171,"3578.27"
338,"20200226",20200310,20200305,19329,413,"699.10"
314,"20200226",20200310,20200305,13542,2171,"3578.27"
310,"20200226",20200310,20200305,13543,2171,"3578.27"
314,"20200226",20200310,20200305,13559,2171,"3578.27"
338,"20200226",20200310,20200305,14577,413,"699.10"
350,"20200226",20200310,20200305,11056,1898,"3374.99"
313,"20200226",20200310,20200305,16688,2171,"3578.27"
342,"20200226",20200310,20200305,25273,413,"699.10"
310,"20200227",20200311,20200306,27919,2171,"3578.27"
310,"20200227",20200311,20200306,28041,2171,"3578.27"
344,"20200227",20200311,20200306,11240,1912,"3399.99"
310,"20200227",20200311,20200306,22050,2171,"3578.27"
310,"20200227",20200311,20200306,28062,2171,"3578.27"
344,"20200227",20200311,20200306,25867,1912,"3399.99"
310,"20200227",20200311,20200306,17049,2171,"3578.27"
313,"20200228",20200312,20200307,13541,2171,"3578.27"
349,"20200228",20200312,20200307,28395,1898,"3374.99"
349,"20200228",20200312,20200307,19829,1898,"3374.99"
313,"20200228",20200312,20200307,16691,2171,"3578.27"
311,"20200228",20200312,20200307,16656,2171,"3578.27"
351,"20200228",20200312,20200307,11044,1898,"3374.99"
310,"20200301",20200313,20200308,13821,2171,"3578.27"
310,"20200301",20200313,20200308,28156,2171,"3578.27"
311,"20200301",20200313,20200308,22114,2171,"3578.27"
314,"20200301",20200313,20200308,17328,2171,"3578.27"
310,"20200302",20200314,20200309,13765,2171,"3578.27"
311,"20200302",20200314,20200309,13792,2171,"3578.27"
311,"20200302",20200314,20200309,12221,2171,"3578.27"
313,"20200302",20200314,20200309,13572,2171,"3578.27"
313,"20200302",20200314,20200309,22058,2171,"3578.27"
313,"20200302",20200314,20200309,28145,2171,"3578.27"
312,"20200302",20200314,20200309,17071,2171,"3578.27"
310,"20200302",20200314,20200309,17309,2171,"3578.27"
313,"20200302",20200314,20200309,17310,2171,"3578.27"
310,"20200302",20200314,20200309,17320,2171,"3578.27"
310,"20200303",20200315,20200310,28172,2171,"3578.27"
312,"20200303",20200315,20200310,17242,2171,"3578.27"
312,"20200303",20200315,20200310,17315,2171,"3578.27"
328,"20200303",20200315,20200310,25558,413,"699.10"
346,"20200304",20200316,20200311,11334,1912,"3399.99"
312,"20200304",20200316,20200311,28168,2171,"3578.27"
311,"20200304",20200316,20200311,28181,2171,"3578.27"
313,"20200304",20200316,20200311,28131,2171,"3578.27"
346,"20200304",20200316,20200311,25887,1912,"3399.99"
314,"20200304",20200316,20200311,17055,2171,"3578.27"
311,"20200305",20200317,20200312,13567,2171,"3578.27"
311,"20200305",20200317,20200312,28182,2171,"3578.27"
312,"20200305",20200317,20200312,28186,2171,"3578.27"
314,"20200306",20200318,20200313,13772,2171,"3578.27"
311,"20200306",20200318,20200313,28185,2171,"3578.27"
314,"20200306",20200318,20200313,28193,2171,"3578.27"
310,"20200306",20200318,20200313,28088,2171,"3578.27"
313,"20200306",20200318,20200313,17065,2171,"3578.27"
338,"20200306",20200318,20200313,14581,413,"699.10"
314,"20200306",20200318,20200313,17308,2171,"3578.27"
313,"20200307",20200319,20200314,12211,2171,"3578.27"
311,"20200307",20200319,20200314,28179,2171,"3578.27"
314,"20200307",20200319,20200314,28183,2171,"3578.27"
313,"20200307",20200319,20200314,28112,2171,"3578.27"
338,"20200307",20200319,20200314,14584,413,"699.10"
312,"20200308",20200320,20200315,13784,2171,"3578.27"
311,"20200308",20200320,20200315,17229,2171,"3578.27"
313,"20200308",20200320,20200315,17246,2171,"3578.27"
314,"20200309",20200321,20200316,12220,2171,"3578.27"
350,"20200309",20200321,20200316,11337,1898,"3374.99"
312,"20200309",20200321,20200316,28097,2171,"3578.27"
350,"20200309",20200321,20200316,25888,1898,"3374.99"
347,"20200309",20200321,20200316,11058,1912,"3399.99"
312,"20200309",20200321,20200316,17294,2171,"3578.27"
310,"20200309",20200321,20200316,17299,2171,"3578.27"
310,"20200310",20200322,20200317,28158,2171,"3578.27"
314,"20200310",20200322,20200317,17247,2171,"3578.27"
310,"20200310",20200322,20200317,17280,2171,"3578.27"
347,"20200312",20200324,20200319,25889,1912,"3399.99"
313,"20200312",20200324,20200319,17069,2171,"3578.27"
334,"20200313",20200325,20200320,20052,413,"699.10"
322,"20200313",20200325,20200320,20054,413,"699.10"
348,"20200313",20200325,20200320,11061,1898,"3374.99"
310,"20200313",20200325,20200320,17248,2171,"3578.27"
312,"20200314",20200326,20200321,13570,2171,"3578.27"
312,"20200314",20200326,20200321,28164,2171,"3578.27"
310,"20200314",20200326,20200321,17064,2171,"3578.27"
313,"20200314",20200326,20200321,17249,2171,"3578.27"
314,"20200314",20200326,20200321,17295,2171,"3578.27"
312,"20200315",20200327,20200322,28096,2171,"3578.27"
310,"20200315",20200327,20200322,28150,2171,"3578.27"
313,"20200315",20200327,20200322,17259,2171,"3578.27"
311,"20200315",20200327,20200322,17312,2171,"3578.27"
313,"20200316",20200328,20200323,12254,2171,"3578.27"
311,"20200316",20200328,20200323,28159,2171,"3578.27"
312,"20200316",20200328,20200323,28149,2171,"3578.27"
336,"20200316",20200328,20200323,14580,413,"699.10"
312,"20200316",20200328,20200323,17285,2171,"3578.27"
347,"20200317",20200329,20200324,11250,1912,"3399.99"
313,"20200317",20200329,20200324,28162,2171,"3578.27"
347,"20200317",20200329,20200324,25879,1912,"3399.99"
311,"20200317",20200329,20200324,17257,2171,"3578.27"
310,"20200318",20200330,20200325,13783,2171,"3578.27"
313,"20200318",20200330,20200325,28154,2171,"3578.27"
312,"20200318",20200330,20200325,28170,2171,"3578.27"
310,"20200318",20200330,20200325,17351,2171,"3578.27"
311,"20200318",20200330,20200325,17332,2171,"3578.27"
312,"20200319",20200331,20200326,28180,2171,"3578.27"
314,"20200319",20200331,20200326,13560,2171,"3578.27"
310,"20200319",20200331,20200326,28148,2171,"3578.27"
311,"20200319",20200331,20200326,22109,2171,"3578.27"
338,"20200319",20200331,20200326,14590,413,"699.10"
345,"20200319",20200331,20200326,11060,1912,"3399.99"
314,"20200319",20200331,20200326,17255,2171,"3578.27"
311,"20200319",20200331,20200326,17258,2171,"3578.27"
310,"20200320",20200401,20200327,13847,2171,"3578.27"
314,"20200320",20200401,20200327,28166,2171,"3578.27"
322,"20200321",20200402,20200328,20060,413,"699.10"
313,"20200321",20200402,20200328,12255,2171,"3578.27"
349,"20200321",20200402,20200328,28401,1898,"3374.99"
344,"20200321",20200402,20200328,11333,1912,"3399.99"
344,"20200321",20200402,20200328,25886,1912,"3399.99"
312,"20200321",20200402,20200328,17241,2171,"3578.27"
334,"20200321",20200402,20200328,17973,413,"699.10"
312,"20200321",20200402,20200328,17334,2171,"3578.27"
310,"20200322",20200403,20200329,13841,2171,"3578.27"
312,"20200322",20200403,20200329,28184,2171,"3578.27"
313,"20200322",20200403,20200329,22117,2171,"3578.27"
312,"20200322",20200403,20200329,28191,2171,"3578.27"
310,"20200322",20200403,20200329,17056,2171,"3578.27"
311,"20200322",20200403,20200329,17079,2171,"3578.27"
311,"20200323",20200404,20200330,12217,2171,"3578.27"
311,"20200323",20200404,20200330,13580,2171,"3578.27"
313,"20200323",20200404,20200330,28155,2171,"3578.27"
313,"20200323",20200404,20200330,28163,2171,"3578.27"
312,"20200323",20200404,20200330,17278,2171,"3578.27"
312,"20200323",20200404,20200330,17329,2171,"3578.27"
330,"20200323",20200404,20200330,25556,413,"699.10"
312,"20200324",20200405,20200331,12219,2171,"3578.27"
310,"20200324",20200405,20200331,17233,2171,"3578.27"
313,"20200324",20200405,20200331,17240,2171,"3578.27"
313,"20200325",20200406,20200401,13845,2171,"3578.27"
312,"20200325",20200406,20200401,28167,2171,"3578.27"
311,"20200325",20200406,20200401,28190,2171,"3578.27"
312,"20200326",20200407,20200402,13777,2171,"3578.27"
310,"20200326",20200407,20200402,28099,2171,"3578.27"
314,"20200326",20200407,20200402,28142,2171,"3578.27"
340,"20200326",20200407,20200402,14585,413,"699.10"
312,"20200326",20200407,20200402,17232,2171,"3578.27"
313,"20200327",20200408,20200403,12212,2171,"3578.27"
310,"20200327",20200408,20200403,13579,2171,"3578.27"
312,"20200327",20200408,20200403,28171,2171,"3578.27"
312,"20200327",20200408,20200403,28194,2171,"3578.27"
312,"20200327",20200408,20200403,22112,2171,"3578.27"
322,"20200327",20200408,20200403,20149,413,"699.10"
310,"20200327",20200408,20200403,17279,2171,"3578.27"
313,"20200327",20200408,20200403,17286,2171,"3578.27"
320,"20200327",20200408,20200403,25557,413,"699.10"
336,"20200327",20200408,20200403,25559,413,"699.10"
336,"20200328",20200409,20200404,19339,413,"699.10"
312,"20200328",20200409,20200404,13820,2171,"3578.27"
326,"20200329",20200410,20200405,14589,413,"699.10"
314,"20200330",20200411,20200406,13794,2171,"3578.27"
314,"20200330",20200411,20200406,13846,2171,"3578.27"
311,"20200330",20200411,20200406,12256,2171,"3578.27"
311,"20200330",20200411,20200406,28147,2171,"3578.27"
314,"20200330",20200411,20200406,28152,2171,"3578.27"
311,"20200330",20200411,20200406,17256,2171,"3578.27"
313,"20200330",20200411,20200406,17277,2171,"3578.27"
311,"20200330",20200411,20200406,17288,2171,"3578.27"
310,"20200330",20200411,20200406,17293,2171,"3578.27"
313,"20200330",20200411,20200406,17326,2171,"3578.27"
314,"20200331",20200412,20200407,14429,2171,"3578.27"
311,"20200331",20200412,20200407,28222,2171,"3578.27"
328,"20200331",20200412,20200407,17975,413,"699.10"
344,"20200331",20200412,20200407,11072,1912,"3399.99"
311,"20200401",20200413,20200408,12267,2171,"3578.27"
351,"20200401",20200413,20200408,11095,1898,"3374.99"
312,"20200401",20200413,20200408,17728,2171,"3578.27"
314,"20200402",20200414,20200409,28598,2171,"3578.27"
310,"20200402",20200414,20200409,17921,2171,"3578.27"
311,"20200402",20200414,20200409,17904,2171,"3578.27"
312,"20200402",20200414,20200409,28199,2171,"3578.27"
311,"20200403",20200415,20200410,28257,2171,"3578.27"
310,"20200403",20200415,20200410,17510,2171,"3578.27"
345,"20200404",20200416,20200411,11343,1912,"3399.99"
311,"20200404",20200416,20200411,28273,2171,"3578.27"
324,"20200404",20200416,20200411,20165,413,"699.10"
345,"20200404",20200416,20200411,25895,1912,"3399.99"
351,"20200404",20200416,20200411,11097,1898,"3374.99"
314,"20200404",20200416,20200411,18188,2171,"3578.27"
311,"20200404",20200416,20200411,18189,2171,"3578.27"
314,"20200404",20200416,20200411,17354,2171,"3578.27"
348,"20200405",20200417,20200412,25905,1898,"3374.99"
320,"20200405",20200417,20200412,14610,413,"699.10"
314,"20200405",20200417,20200412,17920,2171,"3578.27"
310,"20200406",20200418,20200413,14427,2171,"3578.27"
313,"20200406",20200418,20200413,28200,2171,"3578.27"
336,"20200406",20200418,20200413,14602,413,"699.10"
312,"20200406",20200418,20200413,17911,2171,"3578.27"
313,"20200407",20200419,20200414,14159,2171,"3578.27"
311,"20200407",20200419,20200414,28243,2171,"3578.27"
312,"20200407",20200419,20200414,28244,2171,"3578.27"
314,"20200407",20200419,20200414,28271,2171,"3578.27"
311,"20200407",20200419,20200414,28297,2171,"3578.27"
326,"20200407",20200419,20200414,14591,413,"699.10"
336,"20200407",20200419,20200414,14603,413,"699.10"
347,"20200407",20200419,20200414,11093,1912,"3399.99"
345,"20200407",20200419,20200414,11099,1912,"3399.99"
310,"20200407",20200419,20200414,17511,2171,"3578.27"
310,"20200407",20200419,20200414,17732,2171,"3578.27"
311,"20200408",20200420,20200415,14525,2171,"3578.27"
311,"20200408",20200420,20200415,14158,2171,"3578.27"
310,"20200408",20200420,20200415,13686,2171,"3578.27"
310,"20200408",20200420,20200415,28259,2171,"3578.27"
312,"20200408",20200420,20200415,28285,2171,"3578.27"
348,"20200408",20200420,20200415,11092,1898,"3374.99"
313,"20200408",20200420,20200415,17912,2171,"3578.27"
313,"20200408",20200420,20200415,17502,2171,"3578.27"
328,"20200408",20200420,20200415,25562,413,"699.10"
314,"20200409",20200421,20200416,14150,2171,"3578.27"
310,"20200409",20200421,20200416,28250,2171,"3578.27"
313,"20200409",20200421,20200416,18193,2171,"3578.27"
311,"20200409",20200421,20200416,17514,2171,"3578.27"
