"datekey","fulldatealternatekey"
20050408,"2005-04-08"
20050409,"2005-04-09"
20050410,"2005-04-10"
20050411,"2005-04-11"
20050412,"2005-04-12"
20050413,"2005-04-13"
20050414,"2005-04-14"
20050415,"2005-04-15"
20050416,"2005-04-16"
20050417,"2005-04-17"
20050418,"2005-04-18"
20050419,"2005-04-19"
20050420,"2005-04-20"
20050421,"2005-04-21"
20050422,"2005-04-22"
20050423,"2005-04-23"
20050424,"2005-04-24"
20050425,"2005-04-25"
20050426,"2005-04-26"
20050427,"2005-04-27"
20050428,"2005-04-28"
20050429,"2005-04-29"
20050430,"2005-04-30"
20050501,"2005-05-01"
20050502,"2005-05-02"
20050503,"2005-05-03"
20050504,"2005-05-04"
20050505,"2005-05-05"
20050506,"2005-05-06"
20050507,"2005-05-07"
20050508,"2005-05-08"
20050509,"2005-05-09"
20050510,"2005-05-10"
20050511,"2005-05-11"
20050512,"2005-05-12"
20050513,"2005-05-13"
20050514,"2005-05-14"
20050515,"2005-05-15"
20050516,"2005-05-16"
20050517,"2005-05-17"
20050518,"2005-05-18"
20050519,"2005-05-19"
20050520,"2005-05-20"
20050521,"2005-05-21"
20050522,"2005-05-22"
20050523,"2005-05-23"
20050524,"2005-05-24"
20050525,"2005-05-25"
20050526,"2005-05-26"
20050527,"2005-05-27"
20050528,"2005-05-28"
20050529,"2005-05-29"
20050530,"2005-05-30"
20050531,"2005-05-31"
20050601,"2005-06-01"
20050602,"2005-06-02"
20050603,"2005-06-03"
20050604,"2005-06-04"
20050605,"2005-06-05"
20050606,"2005-06-06"
20050607,"2005-06-07"
20050608,"2005-06-08"
20050609,"2005-06-09"
20050610,"2005-06-10"
20050611,"2005-06-11"
20050612,"2005-06-12"
20050613,"2005-06-13"
20050614,"2005-06-14"
20050615,"2005-06-15"
20050616,"2005-06-16"
20050617,"2005-06-17"
20050618,"2005-06-18"
20050619,"2005-06-19"
20050620,"2005-06-20"
20050621,"2005-06-21"
20050622,"2005-06-22"
20050623,"2005-06-23"
20050624,"2005-06-24"
20050625,"2005-06-25"
20050626,"2005-06-26"
20050627,"2005-06-27"
20050628,"2005-06-28"
20050629,"2005-06-29"
20050630,"2005-06-30"
20050701,"2005-07-01"
20050702,"2005-07-02"
20050703,"2005-07-03"
20050704,"2005-07-04"
20050705,"2005-07-05"
20050706,"2005-07-06"
20050707,"2005-07-07"
20050708,"2005-07-08"
20050709,"2005-07-09"
20050710,"2005-07-10"
20050711,"2005-07-11"
20050712,"2005-07-12"
20050713,"2005-07-13"
20050714,"2005-07-14"
20050715,"2005-07-15"
20050716,"2005-07-16"
20050717,"2005-07-17"
20050718,"2005-07-18"
20050719,"2005-07-19"
20050720,"2005-07-20"
20050721,"2005-07-21"
20050722,"2005-07-22"
20050723,"2005-07-23"
20050724,"2005-07-24"
20050725,"2005-07-25"
20050726,"2005-07-26"
20050727,"2005-07-27"
20050728,"2005-07-28"
20050729,"2005-07-29"
20050730,"2005-07-30"
20050731,"2005-07-31"
20050801,"2005-08-01"
20050802,"2005-08-02"
20050803,"2005-08-03"
20050804,"2005-08-04"
20050805,"2005-08-05"
20050806,"2005-08-06"
20050807,"2005-08-07"
20050808,"2005-08-08"
20050809,"2005-08-09"
20050810,"2005-08-10"
20050811,"2005-08-11"
20050812,"2005-08-12"
20050813,"2005-08-13"
20050814,"2005-08-14"
20050815,"2005-08-15"
20050816,"2005-08-16"
20050817,"2005-08-17"
20050818,"2005-08-18"
20050819,"2005-08-19"
20050820,"2005-08-20"
20050821,"2005-08-21"
20050822,"2005-08-22"
20050823,"2005-08-23"
20050824,"2005-08-24"
20050825,"2005-08-25"
20050826,"2005-08-26"
20050827,"2005-08-27"
20050828,"2005-08-28"
20050829,"2005-08-29"
20050830,"2005-08-30"
20050831,"2005-08-31"
20050901,"2005-09-01"
20050902,"2005-09-02"
20050903,"2005-09-03"
20050904,"2005-09-04"
20050905,"2005-09-05"
20050906,"2005-09-06"
20050907,"2005-09-07"
20050908,"2005-09-08"
20050909,"2005-09-09"
20050910,"2005-09-10"
20050911,"2005-09-11"
20050912,"2005-09-12"
20050913,"2005-09-13"
20050914,"2005-09-14"
20050915,"2005-09-15"
20050916,"2005-09-16"
20050917,"2005-09-17"
20050918,"2005-09-18"
20050919,"2005-09-19"
20050920,"2005-09-20"
20050921,"2005-09-21"
20050922,"2005-09-22"
20050923,"2005-09-23"
20050924,"2005-09-24"
20050925,"2005-09-25"
20050926,"2005-09-26"
20050927,"2005-09-27"
20050928,"2005-09-28"
20050929,"2005-09-29"
20050930,"2005-09-30"
20051001,"2005-10-01"
20051002,"2005-10-02"
20051003,"2005-10-03"
20051004,"2005-10-04"
20051005,"2005-10-05"
20051006,"2005-10-06"
20051007,"2005-10-07"
20051008,"2005-10-08"
20051009,"2005-10-09"
20051010,"2005-10-10"
20051011,"2005-10-11"
20051012,"2005-10-12"
20051013,"2005-10-13"
20051014,"2005-10-14"
20051015,"2005-10-15"
20051016,"2005-10-16"
20051017,"2005-10-17"
20051018,"2005-10-18"
20051019,"2005-10-19"
20051020,"2005-10-20"
20051021,"2005-10-21"
20051022,"2005-10-22"
20051023,"2005-10-23"
20051024,"2005-10-24"
20051025,"2005-10-25"
20051026,"2005-10-26"
20051027,"2005-10-27"
20051028,"2005-10-28"
20051029,"2005-10-29"
20051030,"2005-10-30"
20051031,"2005-10-31"
20051101,"2005-11-01"
20051102,"2005-11-02"
20051103,"2005-11-03"
20051104,"2005-11-04"
20051105,"2005-11-05"
20051106,"2005-11-06"
20051107,"2005-11-07"
20051108,"2005-11-08"
20051109,"2005-11-09"
20051110,"2005-11-10"
20051111,"2005-11-11"
20051112,"2005-11-12"
20051113,"2005-11-13"
20051114,"2005-11-14"
20051115,"2005-11-15"
20051116,"2005-11-16"
20051117,"2005-11-17"
20051118,"2005-11-18"
20051119,"2005-11-19"
20051120,"2005-11-20"
20051121,"2005-11-21"
20051122,"2005-11-22"
20051123,"2005-11-23"
20051124,"2005-11-24"
20051125,"2005-11-25"
20051126,"2005-11-26"
20051127,"2005-11-27"
20051128,"2005-11-28"
20051129,"2005-11-29"
20051130,"2005-11-30"
20051201,"2005-12-01"
20051202,"2005-12-02"
20051203,"2005-12-03"
20051204,"2005-12-04"
20051205,"2005-12-05"
20051206,"2005-12-06"
20051207,"2005-12-07"
20051208,"2005-12-08"
20051209,"2005-12-09"
20051210,"2005-12-10"
20051211,"2005-12-11"
20051212,"2005-12-12"
20051213,"2005-12-13"
20051214,"2005-12-14"
20051215,"2005-12-15"
20051216,"2005-12-16"
20051217,"2005-12-17"
20051218,"2005-12-18"
20051219,"2005-12-19"
20051220,"2005-12-20"
20051221,"2005-12-21"
20051222,"2005-12-22"
20051223,"2005-12-23"
20051224,"2005-12-24"
20051225,"2005-12-25"
20051226,"2005-12-26"
20051227,"2005-12-27"
20051228,"2005-12-28"
20051229,"2005-12-29"
20051230,"2005-12-30"
20051231,"2005-12-31"
20060101,"2006-01-01"
20060102,"2006-01-02"
20060103,"2006-01-03"
20060104,"2006-01-04"
20060105,"2006-01-05"
20060106,"2006-01-06"
20060107,"2006-01-07"
20060108,"2006-01-08"
20060109,"2006-01-09"
20060110,"2006-01-10"
20060111,"2006-01-11"
20060112,"2006-01-12"
20060113,"2006-01-13"
20060114,"2006-01-14"
20060115,"2006-01-15"
20060116,"2006-01-16"
20060117,"2006-01-17"
20060118,"2006-01-18"
20060119,"2006-01-19"
20060120,"2006-01-20"
20060121,"2006-01-21"
20060122,"2006-01-22"
20060123,"2006-01-23"
20060124,"2006-01-24"
20060125,"2006-01-25"
20060126,"2006-01-26"
20060127,"2006-01-27"
20060128,"2006-01-28"
20060129,"2006-01-29"
20060130,"2006-01-30"
20060131,"2006-01-31"
20060201,"2006-02-01"
20060202,"2006-02-02"
20060203,"2006-02-03"
20060204,"2006-02-04"
20060205,"2006-02-05"
20060206,"2006-02-06"
20060207,"2006-02-07"
20060208,"2006-02-08"
20060209,"2006-02-09"
20060210,"2006-02-10"
20060211,"2006-02-11"
20060212,"2006-02-12"
20060213,"2006-02-13"
20060214,"2006-02-14"
20060215,"2006-02-15"
20060216,"2006-02-16"
20060217,"2006-02-17"
20060218,"2006-02-18"
20060219,"2006-02-19"
20060220,"2006-02-20"
20060221,"2006-02-21"
20060222,"2006-02-22"
20060223,"2006-02-23"
20060224,"2006-02-24"
20060225,"2006-02-25"
20060226,"2006-02-26"
20060227,"2006-02-27"
20060228,"2006-02-28"
20060301,"2006-03-01"
20060302,"2006-03-02"
20060303,"2006-03-03"
20060304,"2006-03-04"
20060305,"2006-03-05"
20060306,"2006-03-06"
20060307,"2006-03-07"
20060308,"2006-03-08"
20060309,"2006-03-09"
20060310,"2006-03-10"
20060311,"2006-03-11"
20060312,"2006-03-12"
20060313,"2006-03-13"
20060314,"2006-03-14"
20060315,"2006-03-15"
20060316,"2006-03-16"
20060317,"2006-03-17"
20060318,"2006-03-18"
20060319,"2006-03-19"
20060320,"2006-03-20"
20060321,"2006-03-21"
20060322,"2006-03-22"
20060323,"2006-03-23"
20060324,"2006-03-24"
20060325,"2006-03-25"
20060326,"2006-03-26"
20060327,"2006-03-27"
20060328,"2006-03-28"
20060329,"2006-03-29"
20060330,"2006-03-30"
20060331,"2006-03-31"
20060401,"2006-04-01"
20060402,"2006-04-02"
20060403,"2006-04-03"
20060404,"2006-04-04"
20060405,"2006-04-05"
20060406,"2006-04-06"
20060407,"2006-04-07"
20060408,"2006-04-08"
20060409,"2006-04-09"
20060410,"2006-04-10"
20060411,"2006-04-11"
20060412,"2006-04-12"
20060413,"2006-04-13"
20060414,"2006-04-14"
20060415,"2006-04-15"
20060416,"2006-04-16"
20060417,"2006-04-17"
20060418,"2006-04-18"
20060419,"2006-04-19"
20060420,"2006-04-20"
20060421,"2006-04-21"
20060422,"2006-04-22"
20060423,"2006-04-23"
20060424,"2006-04-24"
20060425,"2006-04-25"
20060426,"2006-04-26"
20060427,"2006-04-27"
20060428,"2006-04-28"
20060429,"2006-04-29"
20060430,"2006-04-30"
20060501,"2006-05-01"
20060502,"2006-05-02"
20060503,"2006-05-03"
20060504,"2006-05-04"
20060505,"2006-05-05"
20060506,"2006-05-06"
20060507,"2006-05-07"
20060508,"2006-05-08"
20060509,"2006-05-09"
20060510,"2006-05-10"
20060511,"2006-05-11"
20060512,"2006-05-12"
20060513,"2006-05-13"
20060514,"2006-05-14"
20060515,"2006-05-15"
20060516,"2006-05-16"
20060517,"2006-05-17"
20060518,"2006-05-18"
20060519,"2006-05-19"
20060520,"2006-05-20"
20060521,"2006-05-21"
20060522,"2006-05-22"
20060523,"2006-05-23"
20060524,"2006-05-24"
20060525,"2006-05-25"
20060526,"2006-05-26"
20060527,"2006-05-27"
20060528,"2006-05-28"
20060529,"2006-05-29"
20060530,"2006-05-30"
20060531,"2006-05-31"
20060601,"2006-06-01"
20060602,"2006-06-02"
20060603,"2006-06-03"
20060604,"2006-06-04"
20060605,"2006-06-05"
20060606,"2006-06-06"
20060607,"2006-06-07"
20060608,"2006-06-08"
20060609,"2006-06-09"
20060610,"2006-06-10"
20060611,"2006-06-11"
20060612,"2006-06-12"
20060613,"2006-06-13"
20060614,"2006-06-14"
20060615,"2006-06-15"
20060616,"2006-06-16"
20060617,"2006-06-17"
20060618,"2006-06-18"
20060619,"2006-06-19"
20060620,"2006-06-20"
20060621,"2006-06-21"
20060622,"2006-06-22"
20060623,"2006-06-23"
20060624,"2006-06-24"
20060625,"2006-06-25"
20060626,"2006-06-26"
20060627,"2006-06-27"
20060628,"2006-06-28"
20060629,"2006-06-29"
20060630,"2006-06-30"
20060701,"2006-07-01"
20060702,"2006-07-02"
20060703,"2006-07-03"
20060704,"2006-07-04"
20060705,"2006-07-05"
20060706,"2006-07-06"
20060707,"2006-07-07"
20060708,"2006-07-08"
20060709,"2006-07-09"
20060710,"2006-07-10"
20060711,"2006-07-11"
20060712,"2006-07-12"
20060713,"2006-07-13"
20060714,"2006-07-14"
20060715,"2006-07-15"
20060716,"2006-07-16"
20060717,"2006-07-17"
20060718,"2006-07-18"
20060719,"2006-07-19"
20060720,"2006-07-20"
20060721,"2006-07-21"
20060722,"2006-07-22"
20060723,"2006-07-23"
20060724,"2006-07-24"
20060725,"2006-07-25"
20060726,"2006-07-26"
20060727,"2006-07-27"
20060728,"2006-07-28"
20060729,"2006-07-29"
20060730,"2006-07-30"
20060731,"2006-07-31"
20060801,"2006-08-01"
20060802,"2006-08-02"
20060803,"2006-08-03"
20060804,"2006-08-04"
20060805,"2006-08-05"
20060806,"2006-08-06"
20060807,"2006-08-07"
20060808,"2006-08-08"
20060809,"2006-08-09"
20060810,"2006-08-10"
20060811,"2006-08-11"
20060812,"2006-08-12"
20060813,"2006-08-13"
20060814,"2006-08-14"
20060815,"2006-08-15"
20060816,"2006-08-16"
20060817,"2006-08-17"
20060818,"2006-08-18"
20060819,"2006-08-19"
20060820,"2006-08-20"
20060821,"2006-08-21"
20060822,"2006-08-22"
20060823,"2006-08-23"
20060824,"2006-08-24"
20060825,"2006-08-25"
20060826,"2006-08-26"
20060827,"2006-08-27"
20060828,"2006-08-28"
20060829,"2006-08-29"
20060830,"2006-08-30"
20060831,"2006-08-31"
20060901,"2006-09-01"
20060902,"2006-09-02"
20060903,"2006-09-03"
20060904,"2006-09-04"
20060905,"2006-09-05"
20060906,"2006-09-06"
20060907,"2006-09-07"
20060908,"2006-09-08"
20060909,"2006-09-09"
20060910,"2006-09-10"
20060911,"2006-09-11"
20060912,"2006-09-12"
20060913,"2006-09-13"
20060914,"2006-09-14"
20060915,"2006-09-15"
20060916,"2006-09-16"
20060917,"2006-09-17"
20060918,"2006-09-18"
20060919,"2006-09-19"
20061120,"2006-11-20"
20060920,"2006-09-20"
20060921,"2006-09-21"
20060922,"2006-09-22"
20060923,"2006-09-23"
20060924,"2006-09-24"
20060925,"2006-09-25"
20060926,"2006-09-26"
20060927,"2006-09-27"
20060928,"2006-09-28"
20060929,"2006-09-29"
20060930,"2006-09-30"
20061001,"2006-10-01"
20061002,"2006-10-02"
20061003,"2006-10-03"
20061004,"2006-10-04"
20061005,"2006-10-05"
20061006,"2006-10-06"
20061007,"2006-10-07"
20061008,"2006-10-08"
20061009,"2006-10-09"
20061010,"2006-10-10"
20061011,"2006-10-11"
20061012,"2006-10-12"
20061013,"2006-10-13"
20061014,"2006-10-14"
20061015,"2006-10-15"
20061016,"2006-10-16"
20061017,"2006-10-17"
20061018,"2006-10-18"
20061019,"2006-10-19"
20061020,"2006-10-20"
20061021,"2006-10-21"
20061022,"2006-10-22"
20061023,"2006-10-23"
20061024,"2006-10-24"
20061025,"2006-10-25"
20061026,"2006-10-26"
20061027,"2006-10-27"
20061028,"2006-10-28"
20061029,"2006-10-29"
20061030,"2006-10-30"
20061031,"2006-10-31"
20061101,"2006-11-01"
20061102,"2006-11-02"
20061103,"2006-11-03"
20061104,"2006-11-04"
20061105,"2006-11-05"
20061106,"2006-11-06"
20061107,"2006-11-07"
20061108,"2006-11-08"
20061109,"2006-11-09"
20061110,"2006-11-10"
20061111,"2006-11-11"
20061112,"2006-11-12"
20061113,"2006-11-13"
20061114,"2006-11-14"
20061115,"2006-11-15"
20061116,"2006-11-16"
20061117,"2006-11-17"
20061118,"2006-11-18"
20061119,"2006-11-19"
20061121,"2006-11-21"
20061122,"2006-11-22"
20061123,"2006-11-23"
20061124,"2006-11-24"
20061125,"2006-11-25"
20061126,"2006-11-26"
20061127,"2006-11-27"
20061128,"2006-11-28"
20061129,"2006-11-29"
20061130,"2006-11-30"
20061201,"2006-12-01"
20061202,"2006-12-02"
20061203,"2006-12-03"
20061204,"2006-12-04"
20061205,"2006-12-05"
20061206,"2006-12-06"
20061207,"2006-12-07"
20061208,"2006-12-08"
20061209,"2006-12-09"
20061210,"2006-12-10"
20061211,"2006-12-11"
20061212,"2006-12-12"
20061213,"2006-12-13"
20061214,"2006-12-14"
20061215,"2006-12-15"
20061216,"2006-12-16"
20061217,"2006-12-17"
20061218,"2006-12-18"
20061219,"2006-12-19"
20061220,"2006-12-20"
20061221,"2006-12-21"
20061222,"2006-12-22"
20061223,"2006-12-23"
20061224,"2006-12-24"
20061225,"2006-12-25"
20061226,"2006-12-26"
20061227,"2006-12-27"
20061228,"2006-12-28"
20061229,"2006-12-29"
20061230,"2006-12-30"
20061231,"2006-12-31"
20070101,"2007-01-01"
20070102,"2007-01-02"
20070103,"2007-01-03"
20070104,"2007-01-04"
20070105,"2007-01-05"
20070106,"2007-01-06"
20070107,"2007-01-07"
20070108,"2007-01-08"
20070109,"2007-01-09"
20070110,"2007-01-10"
20070111,"2007-01-11"
20070112,"2007-01-12"
20070113,"2007-01-13"
20070114,"2007-01-14"
20070115,"2007-01-15"
20070116,"2007-01-16"
20070117,"2007-01-17"
20070118,"2007-01-18"
20070119,"2007-01-19"
20070120,"2007-01-20"
20070121,"2007-01-21"
20070122,"2007-01-22"
20070123,"2007-01-23"
20070124,"2007-01-24"
20070125,"2007-01-25"
20070126,"2007-01-26"
20070127,"2007-01-27"
20070128,"2007-01-28"
20070129,"2007-01-29"
20070130,"2007-01-30"
20070131,"2007-01-31"
20070201,"2007-02-01"
20070202,"2007-02-02"
20070203,"2007-02-03"
20070204,"2007-02-04"
20070205,"2007-02-05"
20070206,"2007-02-06"
20070207,"2007-02-07"
20070208,"2007-02-08"
20070209,"2007-02-09"
20070210,"2007-02-10"
20070211,"2007-02-11"
20070212,"2007-02-12"
20070213,"2007-02-13"
20070214,"2007-02-14"
20070215,"2007-02-15"
20070216,"2007-02-16"
20070217,"2007-02-17"
20070218,"2007-02-18"
20070219,"2007-02-19"
20070220,"2007-02-20"
20070221,"2007-02-21"
20070222,"2007-02-22"
20070223,"2007-02-23"
20070224,"2007-02-24"
20070225,"2007-02-25"
20070226,"2007-02-26"
20070227,"2007-02-27"
20070228,"2007-02-28"
20070301,"2007-03-01"
20070302,"2007-03-02"
20070303,"2007-03-03"
20070304,"2007-03-04"
20070305,"2007-03-05"
20070306,"2007-03-06"
20070307,"2007-03-07"
20070308,"2007-03-08"
20070309,"2007-03-09"
20070310,"2007-03-10"
20070311,"2007-03-11"
20070312,"2007-03-12"
20070313,"2007-03-13"
20070314,"2007-03-14"
20070315,"2007-03-15"
20070316,"2007-03-16"
20070317,"2007-03-17"
20070318,"2007-03-18"
20070319,"2007-03-19"
20070320,"2007-03-20"
20070321,"2007-03-21"
20070322,"2007-03-22"
20070323,"2007-03-23"
20070324,"2007-03-24"
20070325,"2007-03-25"
20070326,"2007-03-26"
20070327,"2007-03-27"
20070328,"2007-03-28"
20070329,"2007-03-29"
20070330,"2007-03-30"
20070331,"2007-03-31"
20070401,"2007-04-01"
20070402,"2007-04-02"
20070403,"2007-04-03"
20070404,"2007-04-04"
20070405,"2007-04-05"
20070406,"2007-04-06"
20070407,"2007-04-07"
20070408,"2007-04-08"
20070409,"2007-04-09"
20070410,"2007-04-10"
20070411,"2007-04-11"
20070412,"2007-04-12"
20070413,"2007-04-13"
20070414,"2007-04-14"
20070415,"2007-04-15"
20070416,"2007-04-16"
20070417,"2007-04-17"
20070418,"2007-04-18"
20070419,"2007-04-19"
20070420,"2007-04-20"
20070421,"2007-04-21"
20070422,"2007-04-22"
20070423,"2007-04-23"
20070424,"2007-04-24"
20070425,"2007-04-25"
20070426,"2007-04-26"
20070427,"2007-04-27"
20070428,"2007-04-28"
20070429,"2007-04-29"
20070430,"2007-04-30"
20070501,"2007-05-01"
20070502,"2007-05-02"
20070503,"2007-05-03"
20070504,"2007-05-04"
20070505,"2007-05-05"
20070506,"2007-05-06"
20070507,"2007-05-07"
20070508,"2007-05-08"
20070509,"2007-05-09"
20070510,"2007-05-10"
20070511,"2007-05-11"
20070512,"2007-05-12"
20070513,"2007-05-13"
20070514,"2007-05-14"
20070515,"2007-05-15"
20070516,"2007-05-16"
20070517,"2007-05-17"
20070518,"2007-05-18"
20070519,"2007-05-19"
20070520,"2007-05-20"
20070521,"2007-05-21"
20070522,"2007-05-22"
20070523,"2007-05-23"
20070524,"2007-05-24"
20070525,"2007-05-25"
20070526,"2007-05-26"
20070527,"2007-05-27"
20070528,"2007-05-28"
20070529,"2007-05-29"
20070530,"2007-05-30"
20070531,"2007-05-31"
20070601,"2007-06-01"
20070602,"2007-06-02"
20070603,"2007-06-03"
20070604,"2007-06-04"
20070605,"2007-06-05"
20070606,"2007-06-06"
20070607,"2007-06-07"
20070608,"2007-06-08"
20070609,"2007-06-09"
20070610,"2007-06-10"
20070611,"2007-06-11"
20070612,"2007-06-12"
20070613,"2007-06-13"
20070614,"2007-06-14"
20070615,"2007-06-15"
20070616,"2007-06-16"
20070617,"2007-06-17"
20070618,"2007-06-18"
20070619,"2007-06-19"
20070620,"2007-06-20"
20070621,"2007-06-21"
20070622,"2007-06-22"
20070623,"2007-06-23"
20070624,"2007-06-24"
20070625,"2007-06-25"
20070626,"2007-06-26"
20070627,"2007-06-27"
20070628,"2007-06-28"
20070629,"2007-06-29"
20070630,"2007-06-30"
20070701,"2007-07-01"
20070702,"2007-07-02"
20070703,"2007-07-03"
20070704,"2007-07-04"
20070705,"2007-07-05"
20070706,"2007-07-06"
20070707,"2007-07-07"
20070708,"2007-07-08"
20070709,"2007-07-09"
20070710,"2007-07-10"
20070711,"2007-07-11"
20070712,"2007-07-12"
20070713,"2007-07-13"
20070714,"2007-07-14"
20070715,"2007-07-15"
20070716,"2007-07-16"
20070717,"2007-07-17"
20070718,"2007-07-18"
20070719,"2007-07-19"
20070720,"2007-07-20"
20070721,"2007-07-21"
20070722,"2007-07-22"
20070723,"2007-07-23"
20070724,"2007-07-24"
20070725,"2007-07-25"
20070726,"2007-07-26"
20070727,"2007-07-27"
20070728,"2007-07-28"
20070729,"2007-07-29"
20070730,"2007-07-30"
20070731,"2007-07-31"
20070801,"2007-08-01"
20070802,"2007-08-02"
20070803,"2007-08-03"
20070804,"2007-08-04"
20070805,"2007-08-05"
20070806,"2007-08-06"
20070807,"2007-08-07"
20070808,"2007-08-08"
20070809,"2007-08-09"
20070810,"2007-08-10"
20070811,"2007-08-11"
20070812,"2007-08-12"
20070813,"2007-08-13"
20070814,"2007-08-14"
20070815,"2007-08-15"
20070816,"2007-08-16"
20070817,"2007-08-17"
20070818,"2007-08-18"
20070819,"2007-08-19"
20070820,"2007-08-20"
20070821,"2007-08-21"
20070822,"2007-08-22"
20070823,"2007-08-23"
20070824,"2007-08-24"
20070825,"2007-08-25"
20070826,"2007-08-26"
20070827,"2007-08-27"
20070828,"2007-08-28"
20070829,"2007-08-29"
20070830,"2007-08-30"
20070831,"2007-08-31"
20070901,"2007-09-01"
20070902,"2007-09-02"
20070903,"2007-09-03"
20070904,"2007-09-04"
20070905,"2007-09-05"
20070906,"2007-09-06"
20070907,"2007-09-07"
20070908,"2007-09-08"
20070909,"2007-09-09"
20070910,"2007-09-10"
20070911,"2007-09-11"
20070912,"2007-09-12"
20070913,"2007-09-13"
20070914,"2007-09-14"
20070915,"2007-09-15"
20070916,"2007-09-16"
20070917,"2007-09-17"
20070918,"2007-09-18"
20070919,"2007-09-19"
20070920,"2007-09-20"
20070921,"2007-09-21"
20070922,"2007-09-22"
20070923,"2007-09-23"
20070924,"2007-09-24"
20070925,"2007-09-25"
20070926,"2007-09-26"
20070927,"2007-09-27"
20070928,"2007-09-28"
20070929,"2007-09-29"
20070930,"2007-09-30"
20071001,"2007-10-01"
20071002,"2007-10-02"
20071003,"2007-10-03"
20071004,"2007-10-04"
20071005,"2007-10-05"
20071006,"2007-10-06"
20071007,"2007-10-07"
20071008,"2007-10-08"
20071009,"2007-10-09"
20071010,"2007-10-10"
20071011,"2007-10-11"
20071012,"2007-10-12"
20071013,"2007-10-13"
20071014,"2007-10-14"
20071015,"2007-10-15"
20071016,"2007-10-16"
20071017,"2007-10-17"
20071018,"2007-10-18"
20071019,"2007-10-19"
20071020,"2007-10-20"
20071021,"2007-10-21"
20071022,"2007-10-22"
20071023,"2007-10-23"
20071024,"2007-10-24"
20071025,"2007-10-25"
20071026,"2007-10-26"
20071027,"2007-10-27"
20071028,"2007-10-28"
20071029,"2007-10-29"
20071030,"2007-10-30"
20071031,"2007-10-31"
20071101,"2007-11-01"
20071102,"2007-11-02"
20071103,"2007-11-03"
20071104,"2007-11-04"
20071105,"2007-11-05"
20071106,"2007-11-06"
20071107,"2007-11-07"
20071108,"2007-11-08"
20071109,"2007-11-09"
20071110,"2007-11-10"
20071111,"2007-11-11"
20071112,"2007-11-12"
20071113,"2007-11-13"
20071114,"2007-11-14"
20071115,"2007-11-15"
20071116,"2007-11-16"
20071117,"2007-11-17"
20071118,"2007-11-18"
20071119,"2007-11-19"
20071120,"2007-11-20"
20071121,"2007-11-21"
20071122,"2007-11-22"
20071123,"2007-11-23"
20071124,"2007-11-24"
20071125,"2007-11-25"
20071126,"2007-11-26"
20071127,"2007-11-27"
20071128,"2007-11-28"
20071129,"2007-11-29"
20071130,"2007-11-30"
20071201,"2007-12-01"
20071202,"2007-12-02"
20071203,"2007-12-03"
20071204,"2007-12-04"
20071205,"2007-12-05"
20071206,"2007-12-06"
20071207,"2007-12-07"
20071208,"2007-12-08"
20071209,"2007-12-09"
20071210,"2007-12-10"
